model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,1,305,13022,41,1752471,0
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,2,21100,13022,41,1752471,1
13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1589,2,1,13022,41,10,10
13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,3,10442,13022,41,1752471,0
13022_41_50_51_D,13022_41_50_51,D,76,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,4,0,13022,41,10,0
13022_41_50_51_D,13022_41_50_51,D,76,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1589,4,0,13022,41,1752471,0
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,5,800405,13022,41,1752471,45
13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1589,5,2,13022,41,10,20
13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,180,106737,13022,41,1752471,6
13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,120,144265,13022,41,1752471,8
13022_41_50_51_Water,13022_41_50_51,Water,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,NA,NA,NA,NA,NA,NA,NA
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,6,626751,13022,41,1752471,35
13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1589,6,7,13022,41,10,70
13022_41_50_51_UE,13022_41_50_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1588,7,42466,13022,41,1752471,2
13023_51_A,13023_51,A,4,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_B,13023_51,B,7,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_C,13023_51,C,16,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_D,13023_51,D,69,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_E,13023_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_Agriculture,13023_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_Developed,13023_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_Water,13023_51,Water,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_UN,13023_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_UE,13023_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13441_51_A,13441_51,A,35,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_B,13441_51,B,15,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_C,13441_51,C,31,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_D,13441_51,D,19,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_E,13441_51,E,NA,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_Agriculture,13441_51,Agriculture,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_Developed,13441_51,Developed,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_Water,13441_51,Water,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_UN,13441_51,UN,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_UE,13441_51,UE,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13442_51_A,13442_51,A,31,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_B,13442_51,B,34,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_C,13442_51,C,25,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_D,13442_51,D,10,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_E,13442_51,E,NA,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_Agriculture,13442_51,Agriculture,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_Developed,13442_51,Developed,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_Water,13442_51,Water,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_UN,13442_51,UN,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_UE,13442_51,UE,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_A,13620_51_63_64_65_66,A,13,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_B,13620_51_63_64_65_66,B,13,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_C,13620_51_63_64_65_66,C,48,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_D,13620_51_63_64_65_66,D,26,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_E,13620_51_63_64_65_66,E,NA,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Agriculture,13620_51_63_64_65_66,Agriculture,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Developed,13620_51_63_64_65_66,Developed,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Water,13620_51_63_64_65_66,Water,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UN,13620_51_63_64_65_66,UN,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UE,13620_51_63_64_65_66,UE,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13622_41_50_A,13622_41_50,A,17,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,1,13691,13622,41,724636,1
13622_41_50_B,13622_41_50,B,18,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,2,499185,13622,41,724636,68
13622_41_50_C,13622_41_50,C,16,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,NA,NA,NA,NA,NA,NA,NA
13622_41_50_D,13622_41_50,D,18,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,4,63868,13622,41,724636,8
13622_41_50_E,13622_41_50,E,31,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,5,1225,13622,41,724636,0
13622_41_50_Agriculture,13622_41_50,Agriculture,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,180,39340,13622,41,724636,5
13622_41_50_Developed,13622_41_50,Developed,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,120,53517,13622,41,724636,7
13622_41_50_Water,13622_41_50,Water,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,NA,NA,NA,NA,NA,NA,NA
13622_41_50_UN,13622_41_50,UN,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,6,27712,13622,41,724636,3
13622_41_50_UE,13622_41_50,UE,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2724,7,26098,13622,41,724636,3
13651_40_41_50_A,13651_40_41_50,A,12,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,1,217213,13651,41,7431517,2
13651_40_41_50_A,13651_40_41_50,A,12,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,1,3,13651,40,239,1
13651_40_41_50_B,13651_40_41_50,B,5,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,2,249,13651,41,7431517,0
13651_40_41_50_C,13651_40_41_50,C,15,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,3,131466,13651,41,7431517,1
13651_40_41_50_D,13651_40_41_50,D,68,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,4,6185209,13651,41,7431517,83
13651_40_41_50_D,13651_40_41_50,D,68,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,4,21,13651,40,239,8
13651_40_41_50_E,13651_40_41_50,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_Agriculture,13651_40_41_50,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,180,283467,13651,41,7431517,3
13651_40_41_50_Agriculture,13651_40_41_50,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,180,181,13651,40,239,75
13651_40_41_50_Developed,13651_40_41_50,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,120,353939,13651,41,7431517,4
13651_40_41_50_Developed,13651_40_41_50,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,120,5,13651,40,239,2
13651_40_41_50_Water,13651_40_41_50,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UN,13651_40_41_50,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UE,13651_40_41_50,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,7,259974,13651,41,7431517,3
13651_40_41_50_UE,13651_40_41_50,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,7,29,13651,40,239,12
13651_51_A,13651_51,A,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_B,13651_51,B,22,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_C,13651_51,C,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_D,13651_51,D,64,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_E,13651_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Agriculture,13651_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Developed,13651_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Water,13651_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_UN,13651_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_UE,13651_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13652_51_A,13652_51,A,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_B,13652_51,B,13,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_C,13652_51,C,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_D,13652_51,D,79,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_E,13652_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Agriculture,13652_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Developed,13652_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Water,13652_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UN,13652_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UE,13652_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13660_50_A,13660_50,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_B,13660_50,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_C,13660_50,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_D,13660_50,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_E,13660_50,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Agriculture,13660_50,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Developed,13660_50,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Water,13660_50,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UN,13660_50,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UE,13660_50,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_A,13660_51_63_64_65_66,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_B,13660_51_63_64_65_66,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_C,13660_51_63_64_65_66,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_D,13660_51_63_64_65_66,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_E,13660_51_63_64_65_66,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Agriculture,13660_51_63_64_65_66,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Developed,13660_51_63_64_65_66,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Water,13660_51_63_64_65_66,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UN,13660_51_63_64_65_66,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UE,13660_51_63_64_65_66,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
14071_41_50_51_A,14071_41_50_51,A,9,Laurentian Pine-Oak Barrens,1601,1,8,14071,41,778,1
14071_41_50_51_B,14071_41_50_51,B,1,Laurentian Pine-Oak Barrens,1601,2,3,14071,41,778,0
